id	custom_label_2	custom_label_3	custom_label_4
9692/B/882	40	Unipoly	35
9692/B/887	40	Unipoly	35
3959007	55		50
AB991	40	Abtex	30
AB993	40	Abtex	25
DARLING	25		15
DS90391	30	Brother	
OV480	30		5
CO3040	35		
7393033093747	20		
7393033101893	35	Strima	10
AB1000	45	Abtex	35
AB1001	45	Abtex	40
AB1625	40	Abtex	30
AB995	40	Abtex	30
AB83	40	Abtex	30
AB997	30	Abtex	20
AB999	30	Abtex	15
345792/001	40		35
345792/337	40		35
345792/452	40		35
345792/552	40		35
348777/112	5		-5
348777/444	20		10
348777/555	5		-5
348777/758	40		35
348777/888	40		35
358040	35		25
357569	35		25
351878	40		35
DS9044	30	Brother	
DS9046	35	Brother	
DS9047	35	Brother	
DS9049	35	Brother	15
DS9050	40	Brother	
ABB8001	50	Abtex	40
ABBBAR11	45	Abtex	30
ABBBAR111	50	Abtex	15
ABBBAR44	50	Abtex	15
ABBJ14	55	Abtex	50
ABOB23	45	Abtex	15
ABOB25	55	Abtex	15
ABOB26	45	Abtex	15
ABOB4190	50	Abtex	15
ABOB57	50	Abtex	15
ABOB65	50	Abtex	35
ABOB77	45	Abtex	25
1384	55		50
2035	40	Strima	35
OV5722	35	Brother	
CO5068	35		20
CO5069	35		15
CO5070	35		20
CO5071	35		
CO5072	35		15
CO5073	30		10
4933621709396	15	Strima	
4933621706753	25	Strima	5
4933621706319	20	Strima	0
4933621709402	15	Strima	15
21452313	30		15
21439619	40		30
21373745	40		25
KR024	20		10
3862301126	40		30
60701844	40	Novatex	35
60701153	40	Novatex	35
60700581	45	Novatex	40
60700245	15	Novatex	0
D139	35	Apoz	25
444749	40	Strima	35
DS9055	40	Brother	
7393033099923	30	Strima	0
7393033076160	25		10
7393033099954	30		
10691	95		95
87120	45		40
XN387	80		80
500027	55		50
M3322	50		45
PP014	40	Aml dzianiny	25
AB1627	40	Abtex	25
LILI	20		5
LILI4	45		35
LILI12	45		35
LILI17	45		35
LILI10	45	Signo	35
6490864	40		30
6490865	60		50
85004	45		35
310188	60		55
PEN8	25	Edentex	30
PEN197	50	Edentex	40
SDL8	45	Edentex	35
PP217/2	40	Aml dzianiny	30
3083015	85		80
7393033081164	25		
21457222	45		35
21455323	20		5
3862301159	50	Kreda Trade	45
4933621709181	40	Strima	
214590113	40		30
60700702	45	Novatex	35
PEN228	40	Edentex	30
PEN261	40	Edentex	35
71351844	45		35
71351212	45	Nooteboom	35
71352180	50	Nooteboom	40
SDL86	45	Edentex	40
60932053	35		30
60932166	35		25
60932182	35		30
OV5724	30	Brother	15
PEN131	50	Edentex	40
PX0001	70		65
9770D126	35	Novatex	25
K386	40		30
AB822	40	Abtex	30
21303105	35		30
AB708	40	Abtex	30
800215	70	Strima	70
83026	40		35
27866100	35	Kaméleon	25
27866126	35	Kaméleon	25
27866141	35	Kaméleon	30
27866190	50	Kaméleon	45
278662	35	Kaméleon	30
2786622	35	Kaméleon	25
27866423	35	Kaméleon	30
27866441	35	Kaméleon	30
27866472	35	Kaméleon	25
27866577	35	Kaméleon	25
27866613	35	Kaméleon	30
27866615	35	Kaméleon	25
2786680	35	Kaméleon	30
2786699	40	Kaméleon	35
C85	35	Mcolors	20
P03PETIT	20		15
PETITE50	20		15
C87	30	Mcolors	20
PEN111	40	Edentex	20
C88	35	Mcolors	25
RP12302	20	Brother	
RP12305	25	Brother	
RP12306	35	Brother	
RP12307	25	Brother	
D155	30	Apoz	20
AB84	45	Abtex	35
1038	40	Strima	35
1052	40	Strima	35
MPEN38	35	Edentex	25
MPEN21	40	Edentex	35
MPEN284	55	Edentex	50
21391624	40	Kreda Trade	30
21391621	25		10
3862301129	40		35
21409113	40		15
PEN33	45	Edentex	40
ABME11	30	Abtex	20
ABME09	25	Abtex	15
ABME1001	45	Abtex	35
ABME008	30	Abtex	15
ABME645	25	Abtex	5
M1995	50		40
PEN76	40	Edentex	30
PEN297	45	Edentex	40
PEN117	35	Edentex	25
PEN251	45	Edentex	40
03001034	40	Nooteboom	30
3001002	40	Nooteboom	30
3001003	40	Nooteboom	30
3001005	40	Nooteboom	30
3001006	40	Nooteboom	30
3001011	40	Nooteboom	30
3001013	40	Nooteboom	30
3001018	40	Nooteboom	30
3001022	40	Nooteboom	30
3001023	40	Nooteboom	30
3001024	40	Nooteboom	30
3001112	45	Nooteboom	35
NT03001	40	Nooteboom	30
NT03001052	40	Nooteboom	30
